P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
6244B119,C,2008,,0,0

59C6ACF7,C,2009,6,4,4

04A5A68B,C,2013,,0,0

59C6ACF0,C,2012,,0,0

8384B15A,C,2008,,0,0

7CCE029D,J,1968,42,1,1

77F5AD66,J,1998,,0,0

78E68A45,J,1978,,0,0

84E0F134,C,2016,,0,0

7AB3AAFA,J,2013,3,24,4

14EC066D,C,1988,,0,0

85813254,C,1990,,0,0

7AB3AAFD,J,1984,,0,0

85813256,C,2004,,0,0

7CCE0297,J,2007,8,1,1

7CCE0296,J,2004,4,1,1

181D4819,C,1972,,0,0

7CCE0294,J,1995,16,2,2

7CCE0292,J,1974,,0,0

7B8554FC,J,1940,,0,0

7AB3AAF0,J,2002,11,3,3

181D4810,C,1999,,0,0

7AB3AAF4,J,2009,4,3,3

7CCE0299,J,1964,50,24,19

181D4814,C,1981,,0,0

1DA26B20,C,2014,,0,0

5F99A283,C,2015,,0,0

59C6ACFF,J,1953,59,27,16

83294CE2,C,2015,,0,0

2391C5CE,C,2012,,0,0

6244B11A,J,2015,,0,0

153E907A,C,1984,,0,0

7BB0ADBC,J,2008,0,1,1

85BCC317,C,1959,,0,0

85BCC316,C,2006,,0,0

78736A40,J,1995,,0,0

84A51402,C,2014,,0,0

78736A44,J,2008,5,2,2

84A51407,C,2006,,0,0

84A51406,C,2010,,0,0

148B31A0,C,1996,,0,0

8522E7C0,C,2012,,0,0

8522E7C1,C,2011,,0,0

5E9BF59E,C,2013,,0,0

159A81D8,C,1975,,0,0

04E86A87,C,2009,,0,0

778749F5,J,2001,,0,0

75C0B6E9,J,1996,4,3,3

75C0B6E6,J,2002,12,12,5

75C0B6E7,J,1998,,0,0

75C0B6E5,J,2015,,0,0

75C0B6E0,C,2010,,0,0

75C0B6E1,J,1997,,0,0

060854D5,C,2013,,0,0

060854D4,C,1950,,0,0

26C08FBF,C,2012,,0,0

14464E56,C,1999,,0,0

