P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
75CE719A,J,2006,,0,0

14F1A744,C,2011,,0,0

805C0B36,J,1963,52,12,9

7FEDD7B1,J,2014,,0,0

73009E53,J,1983,,0,0

7FEDD7B3,C,1998,9,1,1

7FEDD7B2,C,2015,,0,0

7FEDD7B4,J,1964,49,7,6

7FEDD7B7,J,2010,,0,0

7FEDD7B8,C,2013,2,6,2

0B213635,J,2011,,0,0

822B1F9C,C,2009,,0,0

7C441EEF,J,2004,,0,0

7C441EEE,J,1991,,0,0

0B213630,C,2004,,0,0

823603AF,J,2015,,0,0

76B6DF6F,J,2004,10,20,8

76B6DF6E,J,1995,,0,0

2C89BC31,C,2002,,0,0

0851E451,C,2009,,0,0

0851E457,C,2008,,0,0

84CF2D00,J,1943,,0,0

823603A4,C,2015,,0,0

71967F5C,J,1903,,0,0

823603A1,C,2009,,0,0

76B6DF66,J,2013,1,4,2

76B6DF64,J,1995,20,40,17

643F51C1,J,1986,29,73,26

76B6DF69,J,2010,5,17,5

34164F45,J,2012,,0,0

7B3FEC24,J,1991,,0,0

7ED4B7B3,J,2000,8,2,2

7ED4B7B1,C,1992,12,2,2

7C441EE8,J,2011,,0,0

73884A6C,C,1998,,0,0

06181FC9,C,2009,,0,0

7C441EE2,J,2013,2,1,1

7ED4B7B8,J,1986,,0,0

7C441EE6,J,1965,,0,0

75CE7198,J,1981,31,13,9

75CE7191,J,2014,,0,0

75CE7190,J,2007,8,30,8

805C0B3E,C,2014,,0,0

8409C3B0,C,2003,,0,0

06E8F924,C,1999,,0,0

5872C36A,J,2000,,0,0

5872C36C,J,1970,23,3,3

7B332F69,J,2012,2,1,1

7EA777D4,J,2006,9,7,5

7B8BEDEA,J,1996,,0,0

6DFC8755,C,2010,,0,0

82AB2499,J,2014,,0,0

76908AFC,J,2014,2,3,2

76908AFA,J,2008,5,2,2

78C417DE,J,1998,17,13,8

5E070533,C,2006,,0,0

5E070539,J,2011,4,15,5

58FCB584,J,1997,,0,0

11E0DA5E,C,1964,,0,0

784ED82C,J,2007,8,45,9

7B9A4B02,J,1979,,0,0

7B9A4B01,J,2000,15,13,10

7B9A4B07,J,1969,37,1,1

369BA259,C,2006,,0,0

03A76625,C,1993,,0,0

01BA46F0,C,1983,,0,0

15938C6D,C,1989,,0,0

01BA46F7,J,2000,,0,0

15938C6A,C,2007,,0,0

110EA376,C,2009,,0,0

0AB7BB1B,C,2009,,0,0

5B2FE4CA,C,1994,,0,0

7E7E0762,C,2008,4,3,3

110EA372,C,2010,,0,0

757F4F48,J,1917,,0,0

21791D0A,C,2007,,0,0

757F4F47,J,1997,,0,0

757F4F46,C,1968,,0,0

11C16003,C,1994,,0,0

0AB7BB13,C,2009,,0,0

77817968,J,1906,,0,0

5B2FE4C4,C,2001,,0,0

757F4F4D,C,2008,,0,0

21791D03,C,1994,,0,0

5BB8C91D,J,2001,14,29,13

5BD7B287,C,2007,,0,0

7B9A4B0C,J,2011,,0,0

189A6964,C,2003,,0,0

7B9A4B0D,J,2010,0,1,1

2C7AB7BC,C,2002,,0,0

59E25B44,J,2004,,0,0

0004A980,C,2008,,0,0

585E4EB3,C,2014,,0,0

585E4EB0,C,2008,,0,0

60CCB6C6,C,1976,,0,0

585E4EB4,J,2012,,0,0

5E07053F,C,2014,,0,0

11E0DA50,C,2008,,0,0

60CCB6C8,C,2001,,0,0

11E0DA54,C,2012,,0,0

69DA15AA,C,2013,,0,0

22643CB2,C,2010,,0,0

7954C6D5,J,2007,,0,0

7954C6D9,J,2003,13,32,12

5FE9DEF2,C,1992,,0,0

5D1D2B40,C,2013,,0,0

5D1D2B43,C,2009,,0,0

26D5D7DF,C,2010,,0,0

177D8B0F,C,2007,,0,0

5A75D1D8,C,1991,,0,0

26D5D7DB,C,2007,,0,0

79CA72EB,J,1989,,0,0

0F60A47B,C,2000,,0,0

7DF1D11D,J,1987,,0,0

7ADA8719,J,1969,,0,0

3CB56B86,C,2012,3,1,1

7ADA8713,J,1966,1,1,1

85E9BD4B,C,2010,,0,0

7ADA8715,J,1956,,0,0

7463A4D5,C,2012,,0,0

478951F7,C,2012,,0,0

0A9B9593,J,1999,16,14,8

01FF77BA,C,2002,,0,0

80B97C2D,J,2010,6,40,6

80B97C2C,J,1999,16,27,14

5AF6F489,J,2008,,0,0

71965ECE,J,2013,2,1,1

5CE3BAE9,C,2003,,0,0

80B97C25,C,2010,,0,0

80B97C23,J,2011,4,96,5

80B97C22,C,1997,,0,0

01FF77B6,J,2001,14,27,12

83764484,C,2003,,0,0

8174B0F0,C,2010,,0,0

3CB56B8B,C,2013,,0,0

7ADA871A,J,2014,,0,0

705D83CA,C,2012,,0,0

7ADA871C,J,1999,14,13,9

78376F56,J,1987,28,4,4

7747C651,J,1898,,0,0

47B3849F,C,2004,,0,0

26D5D7D6,C,2013,,0,0

83764487,C,2009,,0,0

76C5AED1,J,1981,,0,0

76C5AED0,J,1980,9,3,2

76C5AED3,J,2011,,0,0

6FB785B1,C,2010,,0,0

2E1AA257,C,1993,,0,0

004A0DC6,C,2010,,0,0

76C5AED6,J,1993,21,4,4

12094C32,C,1977,,0,0

7954C6DB,J,2011,3,2,2

16C7320B,C,1986,,0,0

5FE9DEFC,C,2015,,0,0

5D1D2B4B,C,2009,,0,0

7A471055,J,2007,,0,0

85F48A28,C,1987,,0,0

6BDB53DA,J,1975,,0,0

859DF619,C,2013,,0,0

859DF618,C,2007,,0,0

61207D7B,J,1950,,0,0

2625DE0C,C,1986,,0,0

2625DE0A,C,2004,,0,0

2625DE0F,C,1970,,0,0

177A51A7,C,2006,,0,0

5C73BD11,C,2012,3,1,1

0A29F1DD,C,2010,,0,0

263FB0A9,J,2005,,0,0

0A29F1DA,J,1998,14,7,7

7F145B5D,J,1969,6,1,1

0A29F1DB,J,2001,,0,0

7AB7FB5C,J,2000,11,7,5

01783CC9,C,2002,13,18,8

7AB7FB5D,J,2004,,0,0

3774A8E8,C,2007,,0,0

07CA2405,C,2012,,0,0

779C0F88,J,1959,5,2,2

6A83921E,C,2008,,0,0

7D9F0C87,J,1998,15,32,13

7D9F0C86,J,2006,7,12,6

7A09B38E,J,1992,21,2,2

792C7234,J,2009,6,33,6

07CA2409,C,2001,14,1,1

1BC4B0FB,C,2011,,0,0

05EEA5A1,C,2013,,0,0

0BBBF69F,C,2008,,0,0

8471D4AE,C,1950,,0,0

79B195D0,C,2011,3,6,2

6161189E,C,1998,,0,0

1A57D633,C,2014,,0,0

05EEA5AA,J,2011,1,2,1

739D713F,C,1982,,0,0

05EEA5AE,C,1971,,0,0

7C8D66EF,J,1998,17,19,11

7BBBD281,J,1973,36,2,2

7A09B388,J,2014,,0,0

04B41C66,J,1988,,0,0

07CA240C,C,1996,16,20,7

7D9F0C8D,J,2015,,0,0

7A09B386,J,1986,,0,0

7A09B381,J,2014,,0,0

0A29F1D4,C,2014,,0,0

0A29F1D7,J,1963,,0,0

0A29F1D6,J,1997,15,11,8

1D6C704B,C,2012,,0,0

0A29F1D3,C,1981,,0,0

842F3FEC,C,2011,,0,0

7AB7FB52,J,2014,1,6,2

7AB7FB53,J,1996,,0,0

7AB7FB50,J,1998,,0,0

8477EA7F,C,2015,,0,0

14D898D8,C,1990,,0,0

7AB7FB57,J,1942,,0,0

02D6AC57,C,1994,,0,0

779C0F86,C,2015,,0,0

74239EEB,C,2004,,0,0

7E6007C8,J,1976,19,1,1

38D4B9C5,C,2010,,0,0

859DF61F,C,2001,,0,0

859DF61A,C,2011,,0,0

7F189BF2,J,2013,2,8,2

827765F6,C,2015,,0,0

02D6AC58,C,2007,,0,0

7D864975,C,2013,,0,0

45822609,C,2007,,0,0

85A8F25C,C,1990,,0,0

85A8F25E,C,1992,,0,0

85A8F25F,C,1980,,0,0

85281A23,C,2015,,0,0

037CA18F,C,1976,,0,0

0334F61C,C,1999,,0,0

5F4C035E,C,2008,,0,0

5F4C035A,C,2012,2,1,1

761FDE69,J,1984,18,2,2

775E7BB3,J,2013,3,4,2

6096E318,J,1978,37,68,31

795BE2EA,C,2014,,0,0

64399BA5,C,2012,,0,0

7C8F5547,J,2012,1,2,1

19AA8477,C,1999,,0,0

7C8F5545,J,1987,24,6,6

5DABA9F2,C,1998,,0,0

7C8F5543,C,2011,,0,0

7C8F5540,J,2015,,0,0

3BADE732,C,2005,,0,0

713C431F,C,2015,,0,0

0C0D90E3,C,2003,,0,0

0AE257AE,C,2011,,0,0

770DB77F,J,2005,10,200,11

5C2774DE,C,1984,,0,0

03D6A7C6,C,2014,,0,0

5BA15076,J,2002,2,2,1

010555F0,C,2007,,0,0

770DB778,J,1977,,0,0

03D6A7CA,C,1983,3,1,1

5C2774D2,C,2007,,0,0

0C3A6166,C,1957,,0,0

770DB773,J,2010,,0,0

7C8F554F,J,1954,,0,0

6096E31E,C,2011,,0,0

7C8F554E,J,2011,,0,0

19AA847A,C,1968,,0,0

6096E31C,C,1971,,0,0

7C03E7E9,J,2004,11,18,8

70D93E4F,J,2009,3,2,2

5F4C0357,C,2004,,0,0

0DB042B2,J,2007,,0,0

194438B8,C,2008,,0,0

3B847981,C,2003,,0,0

037CA188,C,1987,10,1,1

85A8F251,C,1991,,0,0

85A8F250,C,2010,,0,0

85A8F253,C,1999,2,1,1

85A8F254,C,1955,,0,0

302C1D6F,C,2002,,0,0

7BBBD287,J,2014,,0,0

3B7E6255,C,2011,,0,0

59B5A56E,C,2007,3,1,1

324AEA37,C,2014,,0,0

7567D046,J,1990,26,10,10

7567D041,J,2006,10,23,10

7567D040,J,2006,7,6,4

173918F9,C,1952,,0,0

0B231FF9,J,1992,,0,0

7ADD286B,J,1972,43,63,30

7ADD286C,J,1982,,0,0

7ADD286D,J,1995,,0,0

7ADD286E,J,2000,,0,0

099437F5,J,2014,,0,0

5F660B01,C,2004,,0,0

750B97BF,J,2013,1,1,1

02F904E4,C,2013,,0,0

75FB617D,J,2008,,0,0

02F904E1,C,2013,,0,0

77304809,J,2013,,0,0

7A25563A,J,2014,1,5,1

822B1F97,C,1995,,0,0

4AE6A977,C,1996,,0,0

59DE3511,C,2007,,0,0

62C4FED2,C,2006,,0,0

75D942AD,J,2012,2,4,3

3B3CDFEE,J,1950,,0,0

8416D008,C,1978,,0,0

5CDA62E9,C,2007,,0,0

5CDA62E7,C,2002,,0,0

8416D003,C,2003,,0,0

6CA18E51,C,2014,,0,0

2DE9DC42,C,1998,,0,0

3D9F535E,C,2014,,0,0

340D3A14,C,2006,,0,0

099437FB,C,2009,,0,0

099437FC,C,2005,,0,0

7ADD2862,J,1912,57,5,5

22373769,C,1984,,0,0

7ADD2864,J,1997,18,43,15

7ADD2868,J,2011,,0,0

3D9A3458,C,2010,,0,0

22373760,C,2001,,0,0

6B509D54,C,2002,11,27,11

22373767,C,1997,,0,0

6B509D51,C,2015,,0,0

142E5EB3,C,2009,,0,0

270926B7,C,2012,,0,0

7A17E422,J,2007,9,15,7

62D375F8,C,1994,,0,0

63EDDA31,C,2006,,0,0

8499AD40,J,2001,,0,0

231EC48B,C,2009,,0,0

7567D04C,J,2008,6,2,2

1900DBA6,C,1951,,0,0

066C4347,C,2013,,0,0

270C983B,C,1928,,0,0

171F9244,C,2004,,0,0

5F0F1FBA,C,2011,,0,0

1900DBA9,C,2007,,0,0

5EFE8FE4,J,2015,,0,0

26FB46A4,C,2010,,0,0

26FB46A7,C,1967,,0,0

05B079CA,C,2011,,0,0

82201F63,C,2011,2,1,1

7C19C985,J,1992,5,1,1

7C19C986,J,1974,40,21,18

82201F60,C,2012,,0,0

7C19C989,J,1986,,0,0

26FB46A9,C,1989,,0,0

13785A56,C,1978,,0,0

8395B861,C,2005,,0,0

8581AE6B,J,2004,,0,0

8581AE6D,C,2005,,0,0

64105906,C,2010,,0,0

8395B868,C,2015,,0,0

838A4BFD,C,1992,,0,0

838A4BFB,C,1940,,0,0

0162D7B2,C,1997,,0,0

7295E4C5,J,2006,9,34,9

00C2D490,J,1991,,0,0

7BA60699,J,1977,,0,0

7BA60694,J,1982,,0,0

7BA60692,C,2010,,0,0

5E4CF0C9,C,2004,,0,0

26D23147,C,1948,66,27,21

5E4CF0CC,C,1989,,0,0

09D96157,C,2012,,0,0

25E864E8,C,1978,,0,0

270926B2,C,2008,,0,0

5C74C2CD,C,2011,,0,0

7BA6069B,J,2002,13,60,13

11F84481,C,2011,,0,0

8581AE62,C,2008,,0,0

8581AE64,C,1934,,0,0

8395B86D,C,2008,,0,0

11F84489,J,2005,,0,0

838A4BF4,J,2013,,0,0

838A4BF5,C,2014,,0,0

14A6F921,C,2011,,0,0

838A4BF1,C,1995,,0,0

80955550,J,2011,,0,0

7C19C98A,J,1966,,0,0

7C19C98C,J,1981,,0,0

26FB46AA,C,1904,103,2,2

82201F6A,C,2013,,0,0

3BF6BC80,C,2012,,0,0

797B9189,J,2015,1,1,1

270C9836,C,1988,,0,0

02CBC725,C,2013,2,10,3

80B937C5,J,2013,,0,0

0E9B2884,C,1988,,0,0

80B937C7,J,2014,1,4,1

0E112CCC,C,1986,,0,0

80B937C2,J,2015,1,2,2

80B937C3,J,1998,17,11,9

0E4D3566,C,2015,,0,0

8471D4A0,C,2007,,0,0

75D211CE,J,1996,3,1,1

8447D2A8,C,1994,,0,0

0E4D3560,C,2005,,0,0

7957412C,J,1982,,0,0

7C939BDD,J,2014,1,3,2

8447D2A2,C,2014,,0,0

4301E4F9,J,2004,,0,0

