P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
16A5783D,C,2008,,0,0

37D456DF,C,2011,,0,0

2E5C3D6C,C,2011,,0,0

104F9235,C,2013,,0,0

7C282AA4,J,1975,39,3,3

45EE6D16,C,2007,,0,0

155FA2F6,C,1971,,0,0

77222EA6,J,1975,,0,0

7F08F54C,J,2006,6,2,2

7868926A,J,2001,,0,0

8020A07F,J,2010,6,47,6

6BBD64C3,C,1970,,0,0

8020A07C,C,2013,2,5,3

7AE8DB52,J,2009,6,7,4

77DCAAAD,J,2014,,0,0

19C3C6CA,C,2009,,0,0

756B680E,J,2011,,0,0

0F73F7B9,C,2001,,0,0

78689265,J,1999,10,4,4

8020A072,J,2006,9,57,9

19C3C6C9,J,2010,,0,0

6FABE6D2,C,2011,,0,0

5C70B1DE,C,1994,,0,0

193AF12C,C,2001,,0,0

7F1FE215,J,2004,7,3,3

7F08F546,J,2003,8,8,3

7F08F547,C,1997,17,1,1

37125F77,C,2016,,0,0

6B164108,C,1997,,0,0

13BCAC8B,J,2003,,0,0

13BCAC8E,J,1990,,0,0

6356E2E4,C,2011,,0,0

37D456D0,C,2010,,0,0

149A3C8D,C,2007,,0,0

70DC92DD,C,1973,,0,0

6A3DC598,C,1988,,0,0

7BDB4F6D,J,2011,,0,0

43193E9C,C,2002,,0,0

3C34660D,C,2014,,0,0

7B37A74C,J,1968,32,2,2

7B37A74D,J,2000,,0,0

3D2BF0AF,C,1934,,0,0

1782741B,C,1990,,0,0

58A0A4DE,C,2014,,0,0

858741C1,C,2014,,0,0

355FC645,C,2003,,0,0

76A81A4E,J,2013,0,1,1

76A81A4B,J,1988,22,3,3

5897522E,C,2009,,0,0

24C0FED7,J,2005,,0,0

7A8FBD26,J,2007,,0,0

359A1775,C,2013,,0,0

7A8FBD25,C,2014,1,1,1

7AC8A052,J,2008,7,6,5

636AD1FC,J,1964,,0,0

094AB96B,C,2011,3,6,4

24AA34E6,C,2010,,0,0

85E61411,J,2015,,0,0

76FAD2A0,J,2005,11,170,11

24625987,C,1970,,0,0

1A016593,C,2007,,0,0

24625989,C,2014,,0,0

85E6141E,C,1990,,0,0

2E173A26,C,1976,,0,0

2C7A9861,C,2007,,0,0

8548B3FF,C,2015,,0,0

01B80BF3,C,2009,3,2,2

01B80BF1,C,1998,12,1,1

7C235962,J,1986,22,4,4

7A8FBD2D,J,2009,6,15,4

59DDB9F0,J,1967,1,2,1

7A8FBD2C,J,1838,,0,0

58975228,C,2004,,0,0

387D89E0,C,2008,,0,0

26C74D41,C,1999,,0,0

76A81A48,C,2013,,0,0

080C6B94,J,1989,,0,0

58975221,C,2009,,0,0

58975223,C,1931,40,1,1

080C6B92,J,1998,,0,0

0DDB93B7,C,2006,,0,0

77EF3A9C,J,2006,3,1,1

09D5D305,C,2011,,0,0

7B37A742,J,2001,,0,0

7B37A745,J,1999,16,13,8

724E9ACD,C,2011,,0,0

6E207033,C,2015,,0,0

0545FB55,C,2013,,0,0

34E8381C,C,2012,,0,0

3ACF5C59,C,2009,,0,0

17D1D87E,C,1987,,0,0

831D3FFD,C,2003,,0,0

831D3FFC,C,2006,9,75,9

6401E1AC,C,2012,,0,0

2F55286F,C,1989,,0,0

84CADF9D,C,2008,,0,0

7915C02B,J,1999,16,24,14

378FFDCA,C,2008,,0,0

5BD92220,C,1987,,0,0

5B8A7589,C,2009,,0,0

0A06919E,J,2013,,0,0

608B824E,C,2003,,0,0

77EF3A9E,J,2014,2,1,1

5B8A7581,C,2011,,0,0

8156A068,C,1975,,0,0

8231F4A6,C,2001,4,1,1

858A952B,C,2013,,0,0

030FD2BF,C,2012,2,2,1

7A9DEA3B,J,2002,8,3,3

7335BCBE,C,2015,,0,0

8156A066,J,2012,3,41,4

030FD2B1,C,1978,,0,0

7A08E83C,J,2010,0,1,1

858A9520,C,1944,,0,0

858A9521,C,2003,,0,0

858A9522,C,1976,,0,0

7335BCB1,J,2003,,0,0

859AB2FA,C,2004,,0,0

0735F904,C,2014,,0,0

858A9529,C,1992,,0,0

8156A06F,C,2007,3,1,1

5CCBE610,C,2004,,0,0

5CCBE612,C,2015,,0,0

5CCBE618,C,1986,24,2,2

0071A5D3,C,1974,,0,0

5BECE9D5,J,2004,9,12,7

77907FFD,J,2015,,0,0

5FCA94AF,J,1998,,0,0

7FA7A08B,C,2014,,0,0

26924520,C,2004,,0,0

264AC817,C,2002,,0,0

8626CFF0,C,2013,,0,0

8626CFF7,C,1996,,0,0

8626CFF6,C,2011,,0,0

264AC810,C,2015,,0,0

831D3FF9,C,1960,,0,0

10A90BDB,J,1996,,0,0

831D3FF1,J,1972,43,3,3

7B251719,C,2012,,0,0

7B251717,C,1996,,0,0

7B251713,J,2012,,0,0

0EC3EC39,J,1925,,0,0

735748B0,C,2004,,0,0

16B1F738,C,1999,,0,0

3936E4F5,C,2013,,0,0

3936E4F2,C,2011,,0,0

16B1F730,C,2011,,0,0

390E163B,C,2010,,0,0

75D33CAF,J,2000,,0,0

7AE0CE4D,J,2013,2,6,3

8498CB38,C,2011,,0,0

18388322,J,1963,,0,0

6382B8C0,C,2009,,0,0

7C124B4C,J,2008,,0,0

788D5070,J,2001,14,6,4

2D1C0F35,C,2013,,0,0

7C124B4D,J,2007,9,52,10

5D4DA374,C,2005,,0,0

783A00DD,J,2012,,0,0

54BA3FEA,C,2014,,0,0

148FFCD5,C,2013,,0,0

788D5076,J,2002,10,2,2

2D1C0F3A,C,2007,,0,0

7C124B42,J,1967,44,16,10

7C124B45,J,2011,,0,0

7C124B47,J,2015,,0,0

83E50C50,C,2011,,0,0

148FFCDA,C,2008,,0,0

5B06DFD6,C,2004,,0,0

77124C8B,J,2007,,0,0

3C6C3519,C,1996,,0,0

168BBF82,C,2012,,0,0

3936E4FD,C,1956,,0,0

168BBF84,C,1973,,0,0

040E6571,C,1985,1,1,1

441B6B28,J,2004,,0,0

7B25171D,J,1988,,0,0

813676CD,J,2008,7,24,6

7B25171B,J,1972,35,4,4

34907B2C,C,2008,,0,0

788D507B,J,1953,60,17,13

7CD59747,C,1996,,0,0

7DC191FE,C,1991,19,1,1

7CD59745,C,2011,,0,0

796F6B0F,J,1988,,0,0

3CB3D055,J,2015,0,1,1

7948A116,J,1991,,0,0

7B729809,J,2013,1,8,2

7D94232D,C,2013,,0,0

7948A118,J,1979,,0,0

7D94232C,J,2006,9,61,10

7AB4081D,C,2007,,0,0

5DB3A30F,J,2014,,0,0

7619D14B,J,1974,2,2,2

7A3BF7C8,J,1975,,0,0

77F1F30A,C,1984,,0,0

7A3BF7C2,C,2013,,0,0

788D507D,J,1979,13,1,1

5CB5A68F,C,2013,,0,0

264CED56,C,2012,,0,0

7A3BF7C5,J,2010,,0,0

24C4ED17,C,2007,,0,0

5B456D3B,C,2014,,0,0

7BCF23ED,J,1993,,0,0

83793F7E,C,1997,,0,0

24C4ED19,C,2006,,0,0

7FF6719C,J,1966,49,66,33

2196BAA6,C,1928,,0,0

7FF6719F,J,2009,7,51,8

7BCF23E3,J,1947,63,25,16

7BCF23E1,J,2006,,0,0

0081A0DF,C,1996,,0,0

83793F78,C,2015,,0,0

7BCF23E5,J,2013,,0,0

83793F75,C,2012,,0,0

80A84BB6,C,1950,63,17,12

7BCF23E9,C,2013,,0,0

83793F70,C,2007,,0,0

7FF67196,J,1994,,0,0

0D94BD17,C,2013,,0,0

5DB3A306,C,2003,,0,0

5DB3A307,C,2007,,0,0

7619D142,J,1977,38,21,15

5CB5A689,C,2014,,0,0

7619D144,J,2015,1,2,2

476F5C6D,C,2012,,0,0

7619D146,J,2004,11,48,11

7619D147,J,1985,,0,0

5B01C636,C,2013,,0,0

7A3BF7CB,J,1955,,0,0

7A3BF7CA,J,2014,,0,0

1656389A,C,2010,,0,0

5B01C633,C,1997,,0,0

31B1D7AB,C,1997,,0,0

5CB5A685,J,2008,,0,0

2D92A3A4,C,2008,,0,0

35047CB1,C,2010,,0,0

110C2A09,C,2001,,0,0

7D942329,J,1984,,0,0

072DC419,C,2006,,0,0

7948A11B,J,1962,39,1,1

10614F9E,C,2015,,0,0

072DC414,C,2000,,0,0

072DC413,C,2012,,0,0

7D942320,J,2015,,0,0

19DA14E7,C,1985,,0,0

849AAE22,C,2011,,0,0

7CD5974F,C,2014,,0,0

7CD5974D,J,2007,,0,0

5F0F42B7,J,1988,23,5,4

5F0F42B6,C,2008,,0,0

60A34EEB,C,2000,,0,0

6D967D5E,C,1996,,0,0

84CFA3EB,C,2012,,0,0

26B123AF,C,2013,,0,0

32AF89BE,C,2008,,0,0

0896EA17,C,1959,,0,0

0D139B29,C,1881,,0,0

83EE042F,C,1996,,0,0

08D56735,C,2011,,0,0

18707A4D,C,1928,,0,0

83EE042A,C,2015,,0,0

83D1C899,C,2000,,0,0

25EB907F,C,1969,,0,0

7B54BFF6,J,1980,31,3,3

25EB907B,C,1998,,0,0

80676B0F,J,2013,1,1,1

83D1C890,J,2015,,0,0

59F64E0B,C,2010,,0,0

22EEFAC0,C,1973,,0,0

83D1C895,C,2002,,0,0

59F64E0E,C,2011,,0,0

861E9C09,C,1988,,0,0

5B16BFD8,C,2014,,0,0

055F9A0B,C,2011,,0,0

77C35689,J,1995,20,11,8

2D4995AC,C,2005,,0,0

3E01C574,J,2001,,0,0

8244B412,C,2014,,0,0

7635F51A,J,2013,2,12,3

77C35686,J,1987,26,8,7

5B16BFD4,C,2011,,0,0

04382103,C,2013,1,1,1

77C35683,J,2014,1,1,1

23160242,C,2000,,0,0

3DD85B8A,C,2009,,0,0

7635F518,J,1971,43,1,1

1701FEE1,C,2002,,0,0

5A96D5F4,C,2006,,0,0

7635F512,J,1985,,0,0

8244B41A,C,2001,,0,0

77C3568A,J,2012,,0,0

8244B41F,C,2007,,0,0

5A96D5F3,C,1959,,0,0

7136DFBF,C,2013,,0,0

82DB6487,C,2014,,0,0

80676B06,J,2001,14,17,12

83D1C89B,C,1996,,0,0

83D1C89C,C,2006,,0,0

59F64E07,C,2004,,0,0

5EDE0EE3,C,2009,,0,0

331A6FA9,C,1982,,0,0

331A6FA8,J,2013,,0,0

23B8816E,C,1908,,0,0

83EE0424,C,2009,,0,0

83EE0422,C,2012,,0,0

46F84C50,C,2007,,0,0

264DC2A1,C,2002,,0,0

6D967D57,C,2011,,0,0

45F43298,C,1913,,0,0

264DC2A8,C,2014,,0,0

264DC2A9,C,1995,,0,0

83AA2BC2,C,1995,,0,0

5D0F284A,J,2013,,0,0

84CFA3E8,C,2004,,0,0

16EED342,C,2013,,0,0

77FD58A0,C,1956,,0,0

12873670,C,2000,,0,0

2581A1D2,C,1964,48,5,5

77FD58A3,C,1980,,0,0

2581A1D5,C,1996,,0,0

77FD58A9,J,2011,3,3,3

820474DB,C,2013,,0,0

7F9EA683,C,2009,,0,0

3369EFBB,C,2003,,0,0

5FB0512F,C,2001,,0,0

3DEA2AFE,C,1996,,0,0

34BEE7D4,C,2009,,0,0

21AD6C52,C,1961,52,2,2

267C2451,C,1960,,0,0

2179E02E,C,2014,,0,0

84307884,C,2016,,0,0

267C2456,C,1998,3,1,1

2179E02A,C,1959,,0,0

04669368,C,2003,,0,0

84307889,J,2015,,0,0

232719B6,C,1958,,0,0

783A4D3A,J,1992,21,31,15

0AD5668E,C,2014,,0,0

8248817E,C,2012,,0,0

8248817C,C,2013,,0,0

8248817A,C,2012,,0,0

0F18D2DC,C,2008,,0,0

0EA7240F,C,1994,,0,0

82488176,C,2007,,0,0

3D6A2F02,C,2014,,0,0

0EA72409,C,2005,,0,0

0AD56687,C,2008,,0,0

82488172,C,2010,,0,0

82488170,C,2008,,0,0

7CBB99DA,J,2006,,0,0

8230660F,C,2009,,0,0

8230660D,C,2001,13,8,7

59EB1994,C,2008,,0,0

59EB1995,C,1974,,0,0

84099BCA,J,2015,,0,0

84099BCC,C,2015,,0,0

21AD6C5A,C,2012,,0,0

84099BCD,C,2014,,0,0

3D7DCCAF,C,2001,,0,0

06F593BB,C,1978,,0,0

3ABFFF32,C,2000,,0,0

19545195,C,1994,,0,0

8490AE21,C,2002,,0,0

5B7C8B76,C,2013,,0,0

8490AE26,C,2009,,0,0

8490AE25,C,1992,,0,0

835C1BDF,C,2009,,0,0

7CA2E24E,J,1979,32,2,2

2D659066,C,1995,,0,0

77FD58AA,J,2008,6,5,3

2581A1DE,C,2013,,0,0

77FD58AF,J,2012,,0,0

845F1396,C,1996,,0,0

820474D4,C,2011,,0,0

845F1392,C,2004,,0,0

845F1393,C,1974,,0,0

676324EF,C,1990,,0,0

156E88C3,C,2014,,0,0

70B621A9,C,1995,20,23,11

38EC8AEA,C,1970,,0,0

2D6EF0AA,J,1986,,0,0

0D542039,C,1994,,0,0

7F49E006,J,2008,7,48,8

3280530B,C,2008,,0,0

7F49E002,J,2014,,0,0

793FACE4,J,1985,7,4,3

793FACE6,J,1963,,0,0

80F38FBF,J,1979,36,6,5

750FEFE9,C,2005,,0,0

192E302F,C,1971,,0,0

5A323EE1,C,2002,,0,0

750FEFE2,J,2013,2,1,1

75C33AFC,J,1987,27,3,3

8308500C,C,2015,,0,0

49A2042F,J,2001,,0,0

78D9AFDB,J,2011,4,2,2

78D9AFDD,J,2005,,0,0

7F8E8D4D,C,1969,,0,0

5DA70DB2,C,2011,,0,0

3CCD82F3,C,2007,,0,0

43673BEB,C,2009,,0,0

43E21245,C,2003,,0,0

3CCD82FD,C,2007,,0,0

7F8E8D42,J,2005,4,1,1

0609A90D,J,2009,,0,0

2612CE08,C,1966,28,1,1

83085000,C,2003,,0,0

83085001,C,2009,,0,0

3AC76359,C,2002,,0,0

25D4CBE1,C,2011,,0,0

78D9AFD2,J,2003,,0,0

78D9AFD5,J,1970,3,3,3

81F33A30,C,2015,,0,0

78D9AFD6,J,2004,10,17,9

60B568F8,J,2015,,0,0

793FACEF,J,1998,15,4,4

793FACEB,J,2012,2,5,2

192E3026,C,2015,,0,0

750FEFEF,J,2006,,0,0

7A114953,J,2013,3,6,3

192E3023,C,2008,,0,0

8544D42E,C,2014,,0,0

7C9695B8,C,2011,,0,0

8544D42C,C,1990,,0,0

00564112,C,2011,,0,0

8544D42A,C,2005,,0,0

7C9695B3,J,1979,35,13,9

7C9695B2,J,2013,,0,0

7C9695B0,J,2007,8,3,3

7C9695B7,J,2009,6,6,4

38EC8AE9,J,2011,,0,0

7FCDF160,J,1987,28,29,19

5FBEBB42,C,2014,,0,0

7AD5F489,C,1982,,0,0

157DB522,C,2012,,0,0

7E7C323A,C,2013,,0,0

467378A8,C,2013,,0,0

8584EFB1,J,1997,,0,0

7AD5F483,J,1993,12,2,2

5EA3C15A,C,2013,,0,0

7756849C,J,1975,34,1,1

7756849E,J,1984,,0,0

75D8EE76,C,1930,,0,0

7C503D7E,J,1994,19,6,5

7C503D7D,J,2013,2,4,2

