P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
7E0E2277,C,2013,,0,0

7804E34D,C,1955,,0,0

7804E34F,J,2010,5,2,2

7CEA5FB6,J,2008,7,94,8

8268F11E,C,2014,0,1,1

7CEA5FB0,J,2010,,0,0

2C752205,C,2004,,0,0

03D230C0,C,1978,22,1,1

7CBB3CFF,J,2003,,0,0

1088669A,C,1997,16,3,2

7CBB3CFD,J,2012,3,2,1

7CBB3CFE,J,2011,5,42,5

7CBB3CFB,J,2013,2,11,3

26EA61CA,C,2009,,0,0

12F0B12E,C,2014,,0,0

1BAC2BFB,C,2011,,0,0

75286AFA,J,1993,12,1,1

036CF707,C,2002,,0,0

75286AFF,J,1991,23,53,20

75286AFD,J,2001,,0,0

76D5079E,J,2006,,0,0

0F82B639,C,2000,5,7,4

3B71D70B,C,2011,,0,0

09740186,C,2011,,0,0

75286AF5,J,1987,28,79,27

75286AF4,J,2008,6,7,5

75286AF9,J,2013,1,5,1

75286AF8,J,1993,3,1,1

7BB0827A,J,2009,6,6,5

7B3D485A,J,1997,,0,0

79B0E32D,J,2009,,0,0

7CBB3CF9,J,2007,,0,0

7CBB3CF7,J,2012,3,4,3

7CBB3CF4,C,2012,3,1,1

7CBB3CF5,J,1990,12,2,2

73F9682C,C,2001,,0,0

8268F110,C,2015,,0,0

7CEA5FBD,J,2007,,0,0

8268F116,C,2011,,0,0

2C75220D,C,2011,,0,0

254F173F,C,1973,,0,0

0C926388,J,1994,,0,0

7E0E227D,C,2015,,0,0

7804E345,J,1987,28,22,17

58E0808B,C,2007,,0,0

7E62C9B1,C,2008,,0,0

767BD65D,J,2003,12,28,7

19B291E6,C,2000,,0,0

03772DD5,C,1945,,0,0

19B291E1,C,2005,,0,0

77F4060C,J,2011,3,2,2

24C08C96,C,1961,,0,0

066D4D93,C,1992,,0,0

7DAF1685,J,2008,7,15,8

77C28AC9,J,2011,4,6,3

77C28AC8,J,2008,7,9,3

60F66183,J,1994,13,7,4

23888046,C,2000,,0,0

23888049,C,1996,,0,0

5AE56D29,C,2005,,0,0

77C28AC7,J,1992,,0,0

764E9C85,J,1994,20,4,4

728026D1,C,2015,,0,0

007E1C7B,C,1994,,0,0

812CC337,J,1991,24,27,13

7D237BEC,J,2000,,0,0

836CD28D,C,2003,,0,0

836CD28E,C,2011,,0,0

37DE569F,C,2008,,0,0

7D237BED,J,1863,,0,0

48C8419C,J,1982,,0,0

792DB590,J,2011,5,4,3

787674C6,C,2012,1,1,1

5E476C16,C,2014,,0,0

787674C4,J,1991,,0,0

15F8AAE6,J,2000,,0,0

787674C2,J,1982,9,4,3

0216E279,C,2007,,0,0

1709C64D,C,1992,22,14,9

0C63D215,C,2013,2,16,2

15F8AAEE,C,1930,,0,0

32CA9BB1,C,2007,,0,0

7638AEE1,J,1998,,0,0

787674CB,J,1993,,0,0

787674CC,J,2014,,0,0

7C6EDE92,J,2007,8,4,3

812CC33D,J,1997,,0,0

6E4BE2C4,C,2012,,0,0

812CC33A,C,1994,,0,0

836CD288,C,2008,,0,0

7112952A,C,1894,,0,0

819EA349,C,2013,,0,0

47B7725F,C,2001,,0,0

60F6618F,J,1985,27,1,1

448399E3,J,2015,,0,0

77C28ACD,J,1981,,0,0

764E9C8D,J,1985,26,2,2

764E9C8E,J,1981,17,33,13

764E9C8C,J,1968,,0,0

007E1C72,C,1991,,0,0

83A0AE99,C,2001,,0,0

03772DDA,C,1995,,0,0

096B595A,C,2001,,0,0

83A0AE93,C,1977,,0,0

84675001,C,2009,,0,0

83A0AE94,C,2011,,0,0

83A0AE97,C,2015,,0,0

83A0AE96,C,2015,,0,0

83085ABE,C,1998,,0,0

0DADF8E2,C,2014,,0,0

7E0E959F,J,2013,2,23,3

625DEF12,C,2006,8,1,1

78DC8ED9,J,1982,24,54,17

7F12388F,C,1999,13,1,1

7E9E5D90,C,1975,,0,0

231D4AB9,C,1937,,0,0

7CA8C6AE,J,2000,15,22,13

7D8945CB,J,2012,2,3,2

0076D1BC,C,1972,,0,0

7D8945CD,J,2003,12,56,11

09F6F4F7,C,1989,,0,0

7CA8C6AD,J,1997,,0,0

7680AF43,J,2004,11,18,9

78A497A2,C,1997,,0,0

78A497A5,J,1990,,0,0

7680AF47,J,1968,22,10,7

5B7C7758,C,2008,5,6,5

7AF76DC1,J,1969,8,1,1

05B9BD41,C,2005,,0,0

7EF20D1E,C,2008,,0,0

7AF76DC9,J,2005,,0,0

054FAE3B,C,2013,,0,0

810E5BBE,J,1979,,0,0

591D4C83,C,2011,,0,0

591D4C81,C,2011,,0,0

02A34B80,C,2011,,0,0

6C842755,C,1996,18,77,17

33B4B243,C,1950,,0,0

6C842751,J,2015,,0,0

02A34B87,C,1968,,0,0

054FAE39,J,1986,,0,0

78A497AB,J,1837,,0,0

78A497AD,J,2014,,0,0

78A497AF,J,2007,,0,0

7EF20D16,C,2004,,0,0

06E1BC6D,C,1987,,0,0

7EF20D13,J,2010,2,1,1

13D42B16,C,1977,,0,0

7F123884,J,2014,1,1,1

7F123883,C,2006,4,1,1

024DBF29,C,1972,,0,0

7E2B8A72,C,2001,14,1,1

7F9F8658,J,1998,11,5,4

0A9E3C45,J,1995,,0,0

45AACF63,C,2011,,0,0

75E2311B,J,1954,7,5,4

83085AB5,C,2015,,0,0

83085AB4,C,2011,,0,0

0DADF8EC,J,2003,8,3,2

3CEB5BA7,C,1970,31,1,1

83085AB0,C,2004,,0,0

6B2ADE20,C,2015,,0,0

7E0E9596,C,1912,,0,0

83085AB8,C,1958,,0,0

035AFB6D,C,2003,,0,0

7642EFD8,C,1933,,0,0

8514DC83,C,2012,,0,0

7642EFD7,J,2013,2,14,3

8514DC84,C,2011,,0,0

7642EFD3,J,1995,9,6,5

82AAA4BA,C,2014,,0,0

82AAA4BC,J,1999,12,13,9

5B7239D9,C,1990,,0,0

07B6C734,C,2009,,0,0

43B61183,C,2008,,0,0

5E254341,C,2008,,0,0

5CC8600C,C,2012,,0,0

06013C9D,C,1989,22,2,2

787DFF1E,C,1979,,0,0

5BEB56EF,C,2013,1,1,1

757CD714,C,2014,,0,0

7DA3091E,J,2010,5,4,2

1538E63D,C,2014,,0,0

7DA3091B,J,1995,20,112,21

7DA3091A,J,1975,23,5,4

7FA559DC,C,2015,,0,0

79776287,J,1961,51,5,4

7E032CBF,C,2003,,0,0

10B4F8A3,C,2009,,0,0

7EEA75E5,J,2015,,0,0

79776283,J,2014,1,2,1

79776280,J,1995,,0,0

7C6DC5ED,J,1919,,0,0

46971DA4,C,1917,98,5,5

22F56CB2,C,1974,,0,0

133BC743,J,2000,,0,0

79776289,C,2012,,0,0

7977628F,J,2001,,0,0

7FA559D2,J,1986,22,4,4

7C6DC5E1,J,1992,23,36,17

21826D6B,C,2012,,0,0

7977628B,C,1997,,0,0

7EEA75ED,C,2012,,0,0

7FA559D5,C,2015,0,2,1

7E032CB3,J,1992,22,22,13

735FCFDE,C,1979,,0,0

46C52D68,C,2008,,0,0

7F1E1625,J,2013,,0,0

77279693,C,2010,,0,0

76D50799,J,2011,,0,0

7902DEA3,C,2006,9,27,9

1538E637,J,2009,,0,0

7DA30913,C,2007,,0,0

5FBCA76B,J,2007,8,2,2

34941AC0,C,2012,,0,0

5C6C389D,C,2010,,0,0

7F9D5799,J,2010,6,18,6

77279696,J,2010,,0,0

7F9D5793,C,1974,,0,0

7F9D5792,C,2000,,0,0

56B1615C,C,2015,,0,0

1864FC99,C,1920,,0,0

7642EFDD,J,1995,,0,0

7642EFDE,J,1996,18,26,15

8514DC8B,C,1997,,0,0

8514DC8E,C,2011,,0,0

