P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
772C2317,J,1953,7,1,1

251055B6,C,1919,,0,0

5F095F0B,C,2009,,0,0

0E0F2408,C,1963,,0,0

5F095F0F,C,1994,,0,0

5CFA5EEB,J,1969,12,1,1

63BAAD8E,C,2011,,0,0

795BAE66,J,1989,,0,0

80B4FC76,C,2006,,0,0

5FB4F0ED,C,1965,,0,0

5FB4F0EE,C,1993,,0,0

7F91D490,C,2010,4,2,2

32489D85,C,2013,,0,0

2474EE7C,C,2005,,0,0

7F91D498,J,2013,,0,0

7602911A,J,2002,12,4,4

840C90AD,J,1941,,0,0

747026D4,C,2001,2,1,1

06095679,C,2000,,0,0

06095671,C,1991,,0,0

795BAE6D,J,2013,2,6,3

795BAE6C,C,2010,4,1,1

2574958E,C,2013,,0,0

14F2D75B,C,1922,,0,0

79C9C0E6,J,1996,19,12,7

5F095F03,C,2014,,0,0

1339575E,C,2006,,0,0

2312DAC7,C,1950,,0,0

7D87D3EF,J,1980,,0,0

63BAAD86,J,1989,,0,0

5D9A9FCB,C,2013,1,2,2

75CF2926,J,1992,22,17,8

229141E1,C,1964,,0,0

7821DD79,J,2012,2,1,1

7821DD77,J,2006,10,19,9

772C231C,J,1998,14,8,8

229141E8,C,2004,,0,0

5FD8CE3B,J,1980,32,24,16

7821DD71,J,2004,,0,0

837B982F,C,2014,0,3,1

76D2143C,J,1980,,0,0

5CA27426,C,2000,,0,0

587CCB7B,C,1808,192,1,1

76D2143D,J,2008,7,1,1

26778B5F,C,1893,,0,0

2356C136,C,2006,,0,0

792361A0,J,2004,,0,0

59F838AF,C,2002,,0,0

3C419779,C,1970,,0,0

5996D0BF,C,1998,,0,0

7F170793,C,2011,,0,0

5C743DBC,C,1992,,0,0

771ED8F2,J,2006,9,26,10

7F170799,C,2004,3,1,1

093A2D98,C,2012,,0,0

37C3C4BB,C,2014,,0,0

78903B3B,J,1978,19,5,5

33247D00,C,2011,,0,0

7D03E739,J,2010,4,7,4

21B1190B,C,1994,,0,0

166F0EC4,C,1967,,0,0

12747984,C,2013,,0,0

0F384BA1,C,1994,,0,0

7755627C,J,2001,11,8,5

21B11906,C,1990,,0,0

13F09E86,C,1950,,0,0

21B11901,C,1966,,0,0

7D03E73B,J,2011,1,1,1

83895CC4,C,2009,,0,0

7D03E73D,C,2004,6,2,2

04BAB274,C,1987,,0,0

78903B34,J,1968,,0,0

78903B35,J,2010,,0,0

78903B37,J,2011,3,4,3

83B6B180,C,2014,,0,0

5996D0B2,C,2012,,0,0

087BB71E,C,1988,25,4,4

76D21431,C,2008,7,1,1

5CA2742A,C,1992,22,13,9

76D21437,J,2002,7,4,2

76D21434,J,2014,,0,0

244300C0,C,2005,2,1,1

5E6759B1,C,1994,20,2,1

26778B53,C,2007,8,3,2

0F87EB87,C,2013,,0,0

777D6CA6,J,1965,48,13,12

777D6CA0,J,2006,9,69,9

245DED7C,C,2007,6,2,2

3BE56D44,C,2013,,0,0

245DED7E,C,2014,,0,0

58448B2B,J,2011,,0,0

5ACD08C2,C,2010,,0,0

75FDDBA9,J,1967,5,1,1

7C0D501B,J,2008,,0,0

7D90EE42,C,2015,,0,0

7A0ECD5E,C,2013,,0,0

75FDDBA3,J,2008,,0,0

04CD516D,J,2007,7,6,6

0901BB15,C,1982,,0,0

3B74D7DE,C,1991,,0,0

0901BB12,C,2001,,0,0

8032E95A,C,2002,,0,0

068658B5,C,2011,,0,0

79B79992,J,1922,,0,0

75383388,J,2014,,0,0

79B79996,J,2004,,0,0

75383382,C,2011,,0,0

18D0A385,C,1960,45,1,1

6D8BCA7E,C,1895,,0,0

75383386,J,2008,4,3,2

75383385,J,2012,1,1,1

79B7999D,J,2010,2,3,2

2695D151,C,1959,,0,0

188AC986,C,2014,,0,0

02D80739,J,1980,33,29,17

5A24E6C6,C,2012,,0,0

188AC985,C,1909,,0,0

5A24E6C0,C,2011,,0,0

23E5DBFF,C,1985,,0,0

23E5DBFE,C,1970,,0,0

2EA0BEC1,C,1980,,0,0

3436A5CB,C,2008,,0,0

24C1A16C,C,2011,,0,0

5E32E616,C,1996,,0,0

237951FE,C,2005,,0,0

237951FD,C,2008,,0,0

7A0ECD51,J,2007,8,6,6

5ACD08CA,C,2015,,0,0

