P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
73637A16,C,2012,,0,0

7C37D9B6,J,2008,6,5,3

7C37D9B5,J,2014,,0,0

3D109480,C,1988,,0,0

045D2EFA,C,2008,,0,0

7F3FEC4D,J,2011,4,59,5

04E3D68D,C,2003,,0,0

7B23F638,J,2014,,0,0

7B23F637,J,2012,2,1,1

5AA33A65,C,2007,,0,0

174EF3AA,C,2000,,0,0

76D5211E,J,2007,8,3,2

7B23F631,J,2012,,0,0

174EF3AD,C,1999,,0,0

85D8412B,C,2010,,0,0

772EC96F,J,2006,1,1,1

772EC96C,J,1987,,0,0

35A9EE4C,C,2013,,0,0

854FF8FC,C,1994,,0,0

854FF8FA,C,2015,,0,0

5733EBBA,C,2015,,0,0

7C3C2159,J,2013,,0,0

7904A93E,C,2012,0,1,1

7904A93D,J,1937,,0,0

7904A93B,J,2007,8,11,7

7904A93A,J,2010,,0,0

75D5B8C2,J,2012,3,7,3

55DA8904,J,2014,,0,0

7C3C2154,J,2014,1,1,1

7C3C2155,C,1999,,0,0

5D72211D,J,2011,,0,0

7BAEC4AF,J,2003,4,1,1

072154C7,C,2003,,0,0

7BAEC4AA,J,1973,,0,0

6311D6B7,C,1997,,0,0

2194C15B,C,2003,,0,0

00083E53,J,1988,,0,0

59E9ADED,C,1981,,0,0

0F155AEE,J,1930,,0,0

7E35E9DC,C,2011,,0,0

85F1B0AA,C,1994,,0,0

09D108C2,C,1980,,0,0

5894D7FE,C,2003,,0,0

583EF5DB,C,2010,,0,0

583EF5DE,C,1998,,0,0

5E702ECC,C,1994,,0,0

63864D14,J,1990,,0,0

23679129,C,1874,,0,0

3C1E6607,C,1995,,0,0

014E35C5,C,1987,,0,0

70D6F817,C,1997,0,1,1

014E35C7,C,1949,,0,0

75E2311A,J,1980,,0,0

75E2311F,C,2007,,0,0

014E35C0,J,1979,,0,0

635456AA,C,2010,,0,0

7D07C3A0,J,2001,15,87,15

77A34C91,J,1987,18,2,2

8378C48B,C,2013,,0,0

5C6C389E,C,2005,,0,0

07EE6390,C,1987,,0,0

5C6C389B,C,2008,,0,0

7D07C3A6,C,2001,,0,0

77A34C9E,J,2009,,0,0

5D7FD9F3,C,1961,41,9,9

21F6CD82,C,1922,88,1,1

5C6C3899,C,2012,,0,0

33CFEC39,C,2013,,0,0

8378C482,C,1966,,0,0

8378C481,C,2011,,0,0

8378C487,C,2002,,0,0

5C6C3892,C,2007,,0,0

265CFAEF,C,1999,,0,0

7A844B91,J,1990,25,134,23

75E23118,J,1983,6,1,1

75E23119,J,2009,,0,0

2646EC2E,C,1965,,0,0

3C1E660A,C,1994,,0,0

63864D1B,C,2002,,0,0

75A408BD,J,2000,13,10,6

014E35CE,C,2000,,0,0

75E23110,C,2014,,0,0

2367912D,C,1961,,0,0

0097D34B,C,1969,,0,0

7E35E9D6,J,2015,,0,0

22BBE9ED,C,2002,,0,0

85F1B0A4,C,2011,,0,0

7E35E9D0,C,1946,14,3,3

85F1B0A0,C,2000,,0,0

7A844B95,J,2012,,0,0

5E702EC6,J,1998,15,2,2

072B7EA2,C,1921,,0,0

7E35E9D8,J,1998,16,52,14

85F1B0A8,C,2008,,0,0

7B33C056,J,2009,6,40,7

0D958945,C,2000,,0,0

1148E763,C,2009,,0,0

7B33C053,J,1952,,0,0

7BAEC4A2,J,2012,,0,0

7BAEC4A1,J,2008,6,12,4

76BE0ABF,J,2001,14,9,7

5D722118,J,1999,16,80,13

6DE0C00A,C,2008,,0,0

7BAEC4A8,J,2007,4,1,1

71B59BE4,J,2002,12,14,9

5D7703C1,C,2011,,0,0

834F786E,C,2016,,0,0

3CA6CB2D,C,2013,,0,0

220D99A5,C,1873,,0,0

7B728BCD,J,2005,,0,0

76BE0ABB,J,2009,5,1,1

7BFD3A18,C,1990,,0,0

7AA6362A,J,2013,,0,0

79D9C10A,J,2008,7,26,7

0B539417,C,2008,,0,0

77DFC6DF,J,1981,30,6,5

09DDE2AF,C,2015,,0,0

79D9C10E,J,1980,,0,0

79D9C10D,J,2003,,0,0

7BFD3A14,J,2007,,0,0

79D9C10F,J,2013,2,1,1

7FD42EF6,J,1967,36,12,9

7B30D8D0,J,1994,21,91,20

224940F0,C,1975,,0,0

168DFA51,C,2001,,0,0

7FD42EF0,C,2015,,0,0

7FD42EF1,J,2015,,0,0

784EB617,J,2009,,0,0

224940F9,C,1909,,0,0

7FD42EF8,J,2005,10,39,9

7AA6362E,J,2013,1,2,1

7141EBBF,J,1955,,0,0

780DF436,J,2012,3,14,3

0FD3BC91,C,1964,,0,0

8028926C,C,1989,,0,0

15BEC386,C,2009,,0,0

15BEC382,C,2008,,0,0

7528CC95,J,1989,25,27,17

80289263,J,2009,,0,0

5AFA979B,J,1993,21,83,21

0EAB4533,C,2007,,0,0

17BC7472,C,2010,5,6,3

7B30D8DC,J,2013,2,5,2

0156E93D,C,2015,,0,0

5E57DE11,C,2014,,0,0

7B30D8DD,J,1986,,0,0

7B30D8DE,J,1965,47,1,1

24D34455,C,1984,,0,0

2E359940,J,1997,17,29,12

784EB61A,J,2007,8,14,6

2E8157E0,C,2012,,0,0

10B6AFC9,C,2009,,0,0

79D9C101,J,1994,6,1,1

79D9C103,J,1988,,0,0

7BFD3A1F,J,2009,7,16,6

3A48207D,C,1995,,0,0

3CA6CB20,C,2011,,0,0

7259D279,C,2014,,0,0

764C7EA8,J,1991,,0,0

154087BF,C,2008,,0,0

07AB01D0,C,2012,,0,0

6A353748,C,2001,,0,0

019D5733,J,1996,15,19,10

019D5734,C,2002,,0,0

76E6290E,C,1975,,0,0

76E6290F,J,1981,22,3,3

7C183E2B,J,1995,20,60,16

59FC0DE1,J,1989,,0,0

59FC0DE3,J,1992,20,15,11

26D1F41D,C,1987,28,24,10

5F232916,C,2009,4,3,3

5F232917,C,2002,,0,0

066C2930,C,1991,,0,0

5F232913,C,2013,,0,0

458DA55E,C,1992,,0,0

751EE958,J,2015,0,3,1

59C5CB04,C,1983,,0,0

7E123E0E,C,1994,10,2,2

23F6368B,C,1992,,0,0

2397785B,C,2008,,0,0

59C5CB0B,C,2003,9,2,2

72096F42,C,1971,,0,0

23F63680,C,1985,,0,0

758FA3BF,J,1981,,0,0

0525FAF4,C,2012,,0,0

