P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
777A9AF1,C,2014,,0,0

0B33E381,C,1975,,0,0

8039C882,J,1998,,0,0

5868AFCD,C,2009,,0,0

25102268,C,1972,,0,0

7E57CBFB,J,2005,11,267,12

0B33E388,C,2006,,0,0

2388133A,C,1922,,0,0

251A93DC,C,1993,,0,0

3B7C4DD6,C,1991,,0,0

76279937,J,2008,6,10,6

76279936,J,2006,8,2,2

7D142949,C,2015,,0,0

0E6348A4,C,1982,,0,0

5868AFC4,C,2004,,0,0

77C9A888,J,1986,,0,0

5868AFC8,C,1985,31,33,19

7627993C,J,2011,,0,0

7E87FD86,C,2015,,0,0

7E87FD81,J,2005,,0,0

7E87FD82,C,2006,,0,0

8215B3CD,C,2014,,0,0

0C1DF2DA,C,2009,,0,0

808C25D2,J,2004,5,1,1

0C1DF2DC,C,2002,,0,0

0248DE2A,C,2014,,0,0

808C25D5,C,1992,,0,0

8215B3CB,C,2010,,0,0

801BB9A5,J,1991,,0,0

777A9AFD,J,2007,2,5,3

69DCA897,C,2012,,0,0

777A9AFB,C,2006,6,7,4

777A9AFC,J,2004,7,2,2

7E2A4C3D,J,2012,,0,0

7B545B50,J,1939,48,1,1

0D2CE93C,C,2008,,0,0

7B0C1178,J,1960,,0,0

04DCAD88,J,1971,44,45,24

7B0C1175,C,2003,,0,0

5A8006BB,C,2008,,0,0

090BDEA0,C,2013,,0,0

5EA3F053,J,2013,1,1,1

5EA3F052,J,1961,50,62,32

5EA3F050,C,2003,,0,0

25B5394D,C,1998,,0,0

19381C99,C,2006,,0,0

26B7E229,C,1994,12,2,2

19381C94,C,2011,,0,0

38E85433,C,2008,,0,0

80F37DD4,C,1995,20,1,1

80F37DD7,J,1947,58,6,6

80F37DD1,J,2004,11,39,10

80F37DD2,C,2002,,0,0

7C60C8AB,J,1996,19,14,9

7C60C8AC,C,2010,,0,0

7C60C8AA,C,2012,,0,0

0436993E,C,1987,,0,0

7C60C8AD,J,1987,4,1,1

030CD5F6,C,2007,,0,0

05D8F0A7,C,2004,,0,0

6DB3A82F,C,2008,,0,0

818C7087,C,1991,,0,0

6DB3A82D,C,2015,,0,0

5BA27F80,C,2002,,0,0

6EA708FA,C,1991,,0,0

5BA27F86,C,2012,,0,0

168C7089,C,1874,,0,0

8514E06C,C,1986,,0,0

7CA1382E,J,1990,,0,0

803768ED,C,1993,,0,0

7BEE4AAB,J,1902,,0,0

7D05059D,J,1989,20,9,7

760390E0,J,2015,,0,0

04BBE208,J,2009,,0,0

760390E3,J,1991,,0,0

79B0D1AD,J,1971,,0,0

5CCCC542,J,1968,,0,0

76B3F424,J,2008,7,7,3

5964EB81,C,2008,,0,0

79C35277,J,1998,11,3,3

7E660FF0,J,2010,,0,0

7E660FF1,C,2008,7,24,7

85A4CF86,C,2013,,0,0

614076FE,C,1988,,0,0

79B0D1A5,J,2010,5,6,3

79B0D1A0,J,1998,15,5,4

7EED8CE8,J,2013,,0,0

85A4CF8D,C,2007,,0,0

587F67B5,C,2007,,0,0

5C44F2BA,J,1987,,0,0

7E660FFD,J,2001,,0,0

7EED8CE2,J,1999,,0,0

85A4CF8B,C,2000,,0,0

803768E3,C,1992,,0,0

7BEE4AA9,J,1978,37,18,12

7D050598,C,2008,5,2,1

803768E4,J,1985,,0,0

7BDCF34E,J,1987,20,6,6

85911798,C,2013,,0,0

7BEE4AA1,J,1980,,0,0

7BDCF34F,J,2014,,0,0

760390EA,J,1968,,0,0

7BEE4AA5,J,1975,33,50,23

7BDCF34B,J,2008,0,1,1

05645323,C,1998,,0,0

030CD5FC,J,1983,,0,0

168C708B,C,2006,,0,0

0CD9A9BF,C,2015,,0,0

5EA62BD6,C,2008,,0,0

0CD9A9BD,C,2015,,0,0

7C60C8A9,J,2012,3,5,3

7C60C8A3,J,2005,10,42,10

216DD766,C,1989,,0,0

7C60C8A6,J,2007,8,5,5

5A974B43,C,2000,,0,0

77AC5114,J,1960,,0,0

72081A31,J,2003,11,3,3

2167B4D2,C,2014,,0,0

2167B4D5,C,2001,,0,0

7641D2D6,J,1988,,0,0

0B58A683,C,2013,,0,0

7641D2D0,J,1981,,0,0

6D31F3E9,C,2015,,0,0

166F8545,C,1975,,0,0

5CF8EA9A,C,1977,,0,0

5B480CC7,C,1988,,0,0

73649F8A,C,2014,,0,0

78D263CF,C,2012,,0,0

7AA22F68,J,1974,31,4,4

0C77DB56,C,1973,,0,0

10C71C42,C,2007,,0,0

2439D943,C,1876,,0,0

10C71C44,C,2006,,0,0

2439D940,C,1998,,0,0

10C71C49,C,2013,,0,0

12389A3C,C,1986,,0,0

7C2F4125,J,1976,2,1,1

770ADA6C,J,2010,4,2,2

6D737F89,C,2008,5,7,4

7AA22F6E,J,2012,3,5,3

78D263C8,J,2010,5,24,6

7C2F4127,J,2012,,0,0

634F1B03,C,1987,14,1,1

7BDDC00E,C,1994,,0,0

78D263C7,J,2012,,0,0

7B10C579,C,2014,,0,0

7641D2DE,J,2001,,0,0

01C4DF2B,C,2014,,0,0

0B58A68C,C,2010,,0,0

7DF0AA52,C,2014,,0,0

7DF0AA50,J,2012,4,56,4

7641D2DC,J,1961,48,13,8

5CF8EA97,C,2016,,0,0

729C1AF2,J,2015,,0,0

5CF8EA95,J,2005,,0,0

7E2581C5,J,2010,5,46,6

14356F76,C,1987,,0,0

04875E15,C,2006,,0,0

09C90C39,J,2001,,0,0

796B5B0F,J,1995,5,2,2

2167B4DD,C,2006,9,14,6

850CBDE2,C,1939,,0,0

23251061,C,1997,,0,0

0D8F4252,C,2011,,0,0

646EF86C,C,2015,,0,0

572F14CC,C,2013,,0,0

03AA93A0,C,1978,,0,0

786F6EFF,J,1973,21,2,2

1343402E,C,2009,,0,0

03AA93A9,C,2000,,0,0

7B6DC72A,J,1974,40,3,3

7B6DC72C,J,2000,14,4,4

3B4134E6,C,2009,,0,0

77C9A88E,J,1989,7,3,3

7B446579,J,1997,19,40,14

7AE7E8BC,J,2008,3,1,1

7AB42DCD,J,2012,1,1,1

58CA186C,C,2014,,0,0

58CA186A,C,2007,7,12,7

338CA59D,C,2008,,0,0

7AE7E8B1,J,1973,2,1,1

58CA1868,C,1974,,0,0

7AE7E8B2,J,1975,,0,0

7AE7E8B4,J,2011,,0,0

7D48E879,C,2015,,0,0

7AE7E8B6,J,2011,,0,0

08BA01EE,C,2010,,0,0

7D48E875,J,2008,,0,0

58CA1861,C,1996,,0,0

58CA1867,J,2014,,0,0

3D515110,C,2014,,0,0

7B6DC721,J,1973,41,25,19

79798A7D,J,1968,4,1,1

12125143,J,1996,,0,0

3C200F68,C,2003,,0,0

07D21F7D,J,1962,,0,0

7B6DC729,J,1968,45,44,26

7D52B26C,J,1995,10,14,8

8373B7C2,C,1992,,0,0

22DB0718,C,1943,,0,0

78EBD08E,J,1983,29,7,7

768B8C4F,J,2011,2,3,2

48402322,C,2015,,0,0

850CBDEE,C,2006,,0,0

2727D602,C,1992,,0,0

7C458C21,J,1972,38,4,4

766602D8,J,1953,,0,0

80E607D3,J,2012,3,1,1

38C1BC85,C,2012,,0,0

061D430A,C,1988,,0,0

019E395D,C,2001,,0,0

798198A9,J,2015,,0,0

6BD29DFA,C,2015,,0,0

3E2AE9FF,C,1987,,0,0

3E2AE9FD,C,2014,,0,0

856F46C2,C,2015,,0,0

7E18A750,J,2010,1,1,1

6F6B625A,J,2006,,0,0

45061447,C,1984,,0,0

06094320,C,2006,,0,0

02A1AAA6,C,1992,20,39,15

02A1AAA8,J,1979,,0,0

0BC8C61C,C,2003,,0,0

7F002EFC,J,2006,,0,0

01B9A5D1,C,2013,,0,0

7EA4CA89,J,2014,,0,0

78640D9C,J,1916,,0,0

24DD2FC8,C,1994,,0,0

24DD2FC7,C,1967,,0,0

7EA4CA82,J,2003,13,62,13

7EA4CA87,J,2005,9,2,2

274FBA1D,C,2014,1,1,1

79798A70,J,2008,,0,0

02423052,C,1999,,0,0

25836EF3,C,2001,,0,0

24DD2FCA,C,1996,,0,0

02423051,J,1984,,0,0

02A1AAAC,C,2011,,0,0

02A1AAAB,C,1998,,0,0

45C859C2,C,2012,,0,0

5D25C872,J,2005,,0,0

83DEE2D9,C,1970,,0,0

767F5256,J,2000,,0,0

7E181426,J,2010,5,3,2

1007100A,C,2009,4,1,1

860C1741,C,2015,,0,0

80E607DD,C,2010,,0,0

019E3957,J,2013,3,7,4

46D8ABFB,C,2000,,0,0

56383D3D,C,1999,17,61,17

0DAF9FA2,J,2013,,0,0

7C0AA808,J,2013,,0,0

7C0AA809,J,2007,5,3,3

5F80B0C8,C,2006,,0,0

7C0AA804,J,2014,,0,0

0417D9C5,C,2002,,0,0

7C0AA806,J,1999,16,25,13

7C0AA807,J,2004,11,20,9

1009D159,C,2014,,0,0

85254197,C,2015,,0,0

064FD9D9,C,2014,,0,0

84FCD949,C,2012,,0,0

22BCA76E,C,2013,,0,0

064FD9D6,C,2013,,0,0

84FCD940,C,2014,,0,0

06B69F80,C,2001,,0,0

3562FCD1,C,2011,,0,0

26BD4099,C,2014,,0,0

79B26255,J,2014,,0,0

38419F4F,C,2013,,0,0

1776A2EA,C,2005,,0,0

79B26252,J,2004,2,3,2

79B26251,C,1994,,0,0

143AC291,C,1979,,0,0

77C11ACA,C,1907,,0,0

7A67015E,J,2000,,0,0

77C11ACB,C,2000,,0,0

77BA5123,J,2007,,0,0

3AB9AF0D,C,2012,,0,0

7BE163CE,J,1991,13,10,6

7BE163CD,J,2010,4,8,4

0F13A63D,C,2005,,0,0

2412A9DB,C,2005,8,1,1

2412A9DD,C,1991,,0,0

7A670156,J,2006,,0,0

77C11AC3,J,1998,12,2,2

77C11AC2,J,1997,13,3,3

7A670153,J,2006,,0,0

85C4F78C,C,1986,,0,0

44C6CA63,C,2011,,0,0

77C11AC6,J,2008,6,8,4

7BE163C5,J,1990,25,15,11

7BE163C7,J,2006,,0,0

7BAC5238,J,2011,,0,0

2412A9D7,C,2012,,0,0

30C9EF21,C,2003,,0,0

3B2A2C62,C,2009,,0,0

82A49DB1,C,1986,18,8,7

58D60702,C,2015,,0,0

152AED5E,C,2013,,0,0

0D421592,C,2015,,0,0

22BCA765,C,1968,,0,0

07E7ACA7,C,2008,,0,0

6AB855FD,C,1997,8,2,2

84FCD94C,C,2009,,0,0

81EA811A,C,2015,,0,0

5F80B0CF,C,2009,,0,0

434BFA40,C,2011,,0,0

7C0AA80C,J,2007,8,53,8

0513A491,C,2013,,0,0

071813DC,C,2003,,0,0

0F6E97F1,C,2009,,0,0

7055965B,C,2011,,0,0

45CAD845,C,1999,,0,0

0C6E6E30,C,1997,8,2,2

5FC93665,C,2004,,0,0

5FC93666,C,2008,,0,0

75F6970C,J,1968,44,19,14

83DD550D,C,2009,,0,0

1128EB81,C,2010,,0,0

168A4CA8,C,2012,,0,0

751DD089,C,2014,,0,0

751DD088,J,2010,5,19,5

7C3B9D66,J,1997,,0,0

028677B7,C,1984,13,3,3

78B0031C,J,2007,,0,0

8478F1B3,C,2009,,0,0

7DE4CB3F,J,1997,15,2,2

10F52562,C,2005,,0,0

0DF8E73F,C,1936,,0,0

16A7125E,C,2006,,0,0

0C49C189,C,2000,,0,0

6389112D,C,1939,,0,0

0C49C183,C,1957,,0,0

80BE6DD6,C,2009,,0,0

22805DBC,C,2010,,0,0

805B4210,J,2003,,0,0

