P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
76218CD3,J,1992,,0,0

7C86838D,J,1975,,0,0

75DA3947,J,2009,6,5,4

1905A314,C,2006,,0,0

624B55BD,C,2005,,0,0

5FE6266C,J,1970,39,7,5

0B814842,J,2006,8,3,3

059237D8,C,1999,,0,0

5BA00715,C,1996,,0,0

84D3D7D9,C,2013,,0,0

6B9518FA,J,2004,8,3,3

74AE3652,J,1995,,0,0

2EB09F98,C,2014,,0,0

08C8C9D9,C,1996,,0,0

773B3357,C,2012,,0,0

08C8C9D4,C,1998,,0,0

1003BF82,J,1993,,0,0

19A7662B,C,2009,,0,0

773B335C,J,2000,13,10,7

19CAC7EA,C,2011,,0,0

33C1D416,C,2014,,0,0

4B93A8C6,C,2015,,0,0

7E2412C8,J,2005,10,15,9

5F23B004,C,2009,4,3,2

059237DF,C,2013,,0,0

323AEEA4,C,2003,,0,0

5F23B008,C,2007,,0,0

7D04A230,J,2006,4,3,2

774BA6B9,J,2009,,0,0

7D04A232,C,2007,,0,0

7D04A236,C,2004,,0,0

774BA6B3,J,2011,4,5,3

774BA6B2,J,1995,19,24,12

05828588,C,2004,,0,0

6EE1A52B,C,2012,,0,0

75DA394D,J,1937,18,1,1

2515E96F,C,2014,,0,0

8598E34E,C,2014,,0,0

84826E80,C,2013,,0,0

84826E82,C,2006,,0,0

84826E85,J,2015,0,1,1

6C3497F7,J,2015,,0,0

6C3497F4,C,1966,,0,0

554F6973,C,2003,,0,0

5DB8518A,C,2008,,0,0

72875394,C,1994,,0,0

5DB8518D,C,2012,,0,0

80897759,J,2003,13,1011,14

62727F88,C,2009,,0,0

80897756,J,2002,12,26,9

08BE8F01,C,2007,,0,0

58A0CC40,C,1993,,0,0

248A896F,C,1968,,0,0

5B1E7969,C,2007,,0,0

7EE7B59A,J,1979,27,32,18

0BB8E7AE,J,1998,12,1,1

0BB8E7AC,C,2013,,0,0

0641F467,C,1990,,0,0

77F045FC,J,1960,,0,0

