P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
83AA3A6D,J,1932,,0,0

33EFAA34,C,2008,,0,0

34C4EE25,C,1992,,0,0

8338C61A,C,2002,,0,0

76E92047,C,2006,,0,0

6AB27037,C,2014,,0,0

8338C61F,C,2008,,0,0

6E4B651C,C,1999,,0,0

458DA555,C,1982,,0,0

786B88EA,J,2009,,0,0

786B88EF,J,1947,,0,0

80CA40F0,C,2014,,0,0

786B88ED,J,1973,36,7,5

77EE8511,J,1997,17,7,6

0EDBD6ED,J,1999,,0,0

7965E8F7,J,2013,,0,0

763FF6E0,J,2009,,0,0

786B88E6,J,2008,,0,0

786B88E7,J,1967,44,4,4

786B88E8,J,2002,12,6,6

2644D416,C,1984,,0,0

625C20AC,C,2013,,0,0

001AC4B1,C,2005,,0,0

1125359C,J,2013,1,3,1

34C4EE2F,C,2001,,0,0

070C78CF,C,1960,,0,0

7C20EA10,J,2013,,0,0

7C20EA13,J,1987,21,1,1

6F47AB01,C,1974,,0,0

7C20EA15,J,2001,9,1,1

23B3AA28,C,2011,,0,0

85C7146E,J,2005,3,1,1

258D9959,C,2014,,0,0

24AF2BED,C,1976,34,6,5

85DA2425,C,2006,,0,0

85DA2427,C,2005,,0,0

5B4D1357,C,1995,,0,0

0DB93878,C,2003,,0,0

7B515498,C,2011,,0,0

592A8213,C,2010,,0,0

590FE7D2,C,2011,,0,0

39CD2BCC,C,2001,,0,0

7B515491,C,1973,,0,0

7D18A311,J,2006,7,3,3

382F21EF,C,1970,,0,0

833D98D7,C,2005,,0,0

0EDEC221,C,1975,,0,0

21E30DD5,C,2002,,0,0

21E30DD4,C,2008,,0,0

25E583D4,C,1993,6,1,1

820974FA,C,1965,,0,0

820974FB,C,2012,,0,0

820974FC,C,1999,,0,0

38F91315,C,2009,,0,0

04C96917,J,1981,,0,0

7B2EC286,C,1992,,0,0

0F924E31,J,1948,,0,0

592FF32B,J,2006,,0,0

26EC554C,C,2004,6,1,1

542AF28B,C,2012,,0,0

7F3F81AB,C,2009,,0,0

814C051B,J,2010,,0,0

792EB8B8,J,2003,12,8,5

3A5CE083,C,1995,,0,0

593DA595,C,2006,,0,0

76BE1717,J,2014,1,1,1

77214AB6,J,2008,0,1,1

5DD0821B,C,1955,,0,0

03A2523E,C,1964,,0,0

03A2523B,C,2007,,0,0

0FFC12D4,C,2007,,0,0

77214AB0,J,1954,,0,0

313051B0,C,2014,,0,0

313051B4,C,2003,,0,0

0CC42B88,J,2007,,0,0

77214AB9,J,1994,,0,0

77214ABD,C,1969,,0,0

77214ABB,J,1897,,0,0

3D184621,C,2013,,0,0

59D7D57D,C,2014,,0,0

5E412A08,J,1973,,0,0

07D0EECE,J,2003,11,13,7

5D5DDD73,C,2012,,0,0

3A5CE08E,C,2002,,0,0

249FACBE,C,1987,28,8,6

843D67B6,C,2013,,0,0

7B2EC28B,C,2014,,0,0

04C9691F,C,2006,,0,0

843D67B5,C,1999,,0,0

792EB8BC,C,2001,,0,0

792EB8BB,J,2009,,0,0

7B2EC28E,J,1985,21,3,3

26E9C6B7,C,1982,,0,0

1505F3CA,C,2006,,0,0

6411D827,C,1940,13,1,1

21E30DDB,C,1930,,0,0

0EDEC22A,C,2014,,0,0

5B976AE4,C,2004,,0,0

24CF7F15,C,1975,,0,0

820974F2,C,2005,11,12,9

7A69FFDF,J,1997,,0,0

3DE78F05,C,1996,,0,0

07921F3D,C,2005,,0,0

84B3A334,J,2005,9,2,2

0262CCB0,J,2009,,0,0

07C31C31,J,2004,0,1,1

78D427FB,J,2011,3,1,1

7C685E43,J,2006,6,5,3

7C685E40,J,2007,,0,0

78D427FA,J,1996,14,4,4

7C685E47,J,1962,,0,0

59505F92,C,2015,,0,0

26816F84,C,1957,,0,0

5CB35483,C,2011,,0,0

80C42770,C,2012,3,14,3

80C42773,C,2013,,0,0

39166979,C,1993,,0,0

0ECBE12F,C,1996,,0,0

83E23DA9,C,1991,,0,0

39166973,C,2010,,0,0

83E23DA5,C,1991,,0,0

066599C8,C,1987,,0,0

76494F6B,J,2012,3,4,3

76494F6C,C,1927,,0,0

2E616E0B,C,2013,,0,0

05DF0748,C,1981,21,1,1

7E81EE4F,J,2010,,0,0

82CBA59C,C,2002,,0,0

78C1072F,J,1997,,0,0

76494F64,J,2013,,0,0

76494F60,J,2015,,0,0

78D58F73,J,1953,,0,0

26B885FD,C,1986,,0,0

2648F171,C,2014,,0,0

46DB6C35,J,2015,,0,0

06BDE5FF,C,2014,,0,0

80C4277F,J,2010,,0,0

0275980E,C,2003,,0,0

78D58F71,J,1981,,0,0

7C685E4B,J,2013,3,4,2

78D427F0,C,2014,,0,0

7C685E4A,J,2012,2,1,1

7C685E4F,J,1966,,0,0

78D427F5,J,2009,,0,0

78D427F8,J,1991,7,7,5

26816F8B,C,2000,,0,0

78DE9184,C,2010,,0,0

7FACF2A4,J,2011,2,3,2

7FACF2A5,J,1991,19,11,9

346E69C2,C,2011,,0,0

7FACF2A3,C,2008,,0,0

07921F39,C,2014,,0,0

0B67E52E,J,2000,,0,0

84B3A33B,C,1859,,0,0

838886D0,C,2013,,0,0

76F90339,J,1994,7,3,2

76EB3562,C,2010,4,1,1

5B1A67D0,C,1970,,0,0

76F90332,J,2014,,0,0

76F90333,J,2009,6,17,7

0020E65F,C,1995,,0,0

23555A55,C,1989,,0,0

855B7DDD,C,2013,,0,0

76F90334,J,1991,24,32,17

1094787C,C,2015,,0,0

78AF8F60,J,1996,6,1,1

78AF8F62,C,2003,,0,0

78AF8F65,J,1978,,0,0

78AF8F66,J,1961,36,3,3

233DC55C,C,1989,,0,0

27320CB2,C,2006,,0,0

1918F2D9,C,1983,,0,0

780AAA8F,J,1919,,0,0

0393E359,C,1992,,0,0

780AAA8A,J,1981,3,1,1

2323FBBB,C,2000,,0,0

77C44D8A,J,1964,40,30,22

03AA7818,C,2003,,0,0

3CCF1691,C,1997,,0,0

18C3D4C8,C,1981,,0,0

364123DD,C,2009,,0,0

696C62FE,C,2004,,0,0

780AAA86,J,2005,10,8,7

837AC9D9,C,2000,,0,0

7DA3A935,C,1993,,0,0

3B3628C7,C,2004,,0,0

03AA781B,C,1965,,0,0

1260EA5D,J,2009,,0,0

7DA3A931,J,2013,2,14,3

821CE885,C,2011,,0,0

