P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
805784E5,J,2007,8,6,6

08A3B09D,C,1998,,0,0

2DE5DE64,J,2008,,0,0

8468ECE8,C,2009,,0,0

82C9D4F0,C,2000,,0,0

80BBD01F,C,2015,,0,0

048332B9,C,1978,,0,0

7E3FCD32,C,2014,,0,0

7E3FCD31,J,1998,14,2,2

7E3FCD37,C,2007,,0,0

7B3EB049,J,2007,,0,0

113AFF5F,C,1961,,0,0

7E3FCD39,J,2000,9,7,4

859E8BF0,C,2007,,0,0

859E8BF6,C,1991,,0,0

859E8BF5,J,2016,,0,0

5843DDBF,C,2013,,0,0

7D0DC8C4,C,2008,,0,0

7D0DC8C6,J,1995,15,10,7

76522827,J,2011,,0,0

01C93707,C,2011,,0,0

62417344,J,2015,,0,0

7B252A5C,J,1993,,0,0

18E5F4CE,C,1990,21,6,5

18E5F4CB,C,1983,,0,0

5E0BC729,C,2010,,0,0

7CAD3444,J,1974,41,19,13

0550BE3C,C,2010,,0,0

76DB26B5,C,2013,,0,0

7CAD3443,J,1987,26,21,13

082EEE87,C,2008,,0,0

81AB8528,J,2006,,0,0

0F2E0175,C,2004,,0,0

75D712E8,J,2012,3,6,3

7D142AC0,J,1964,,0,0

81AB8521,C,2006,,0,0

81AB8527,C,2015,,0,0

5A1FD0F0,C,1990,,0,0

2265E71F,J,2015,,0,0

0AC7D756,J,2008,,0,0

0D4AB311,J,1994,,0,0

825F2D14,C,2012,,0,0

657D88D2,C,1973,,0,0

669F34B2,C,1949,,0,0

8040532A,C,1995,,0,0

77031A30,J,1903,108,6,5

77031A37,J,1985,10,6,5

77031A35,J,2007,,0,0

83F92872,C,2011,,0,0

81D7F825,J,2007,,0,0

771D8FA6,J,2011,4,3,2

7BCF9406,C,2005,,0,0

243DD71C,C,1989,,0,0

23A71828,C,1989,,0,0

05DCE04B,C,1987,27,1,1

146A0F5A,C,2014,,0,0

3BBBF656,C,2015,,0,0

178F258B,C,1964,,0,0

23A71820,J,2015,,0,0

464591C5,C,2006,,0,0

5BDDFF62,C,1975,,0,0

5BDDFF61,J,2012,3,1,1

22406701,C,2008,,0,0

5BDDFF66,C,1966,,0,0

80FD7341,C,2008,6,3,3

45560AA0,C,2007,,0,0

83F92874,C,2006,,0,0

09AF1B90,C,1997,,0,0

7EEAA6F3,J,2003,7,2,2

