P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
7AE68B1C,J,1934,3,1,1

84D97538,C,2009,,0,0

1C0E70BB,C,2013,,0,0

5EBADA95,C,2004,11,2,2

2E118584,C,1952,,0,0

04C18960,C,2001,,0,0

04C18965,C,2000,,0,0

5B65BA65,C,1999,,0,0

84FA52B6,C,2015,,0,0

032C0B32,C,2012,,0,0

7B98AF66,J,2005,8,8,4

5D680647,C,2008,,0,0

5C376775,C,2008,,0,0

5D680643,C,2010,,0,0

84FA52B9,C,2015,,0,0

5D680641,C,1804,,0,0

7D7703D9,J,2015,,0,0

0C804014,C,1994,,0,0

7C5FD6FF,J,1985,10,1,1

70790AB5,C,2004,,0,0

7C5FD6FB,J,1979,,0,0

231FFDD6,C,1989,,0,0

2599CD67,C,1998,,0,0

2599CD64,C,1974,37,3,3

729283B0,C,2011,,0,0

7B8887C9,J,2013,,0,0

08CCAE5F,C,2004,8,8,6

752C926C,C,1984,,0,0

7B8887C1,J,2006,9,30,8

165EBB1B,C,2006,,0,0

7B8887C2,J,2003,11,11,10

165EBB1D,C,2013,,0,0

7B8887C7,J,1996,16,1,1

77D562E0,J,1915,,0,0

23134941,C,1982,,0,0

77A05C4C,J,2005,5,3,3

77A05C4B,J,1977,,0,0

77D562E4,J,1976,,0,0

77A05C4D,J,2012,,0,0

77A05C4F,J,2012,,0,0

77D562E8,J,2012,,0,0

77D562E9,J,1962,5,2,2

812B39BE,J,1996,,0,0

86137C5B,C,1976,,0,0

75E73F76,J,1995,19,2,2

0EB4A195,C,2016,,0,0

75E73F71,J,2014,1,1,1

86137C56,C,1960,,0,0

86137C55,C,1983,,0,0

86137C54,C,2009,,0,0

86137C53,C,2015,,0,0

86137C52,C,2012,,0,0

59D6AB4C,C,1985,,0,0

86137C58,C,1987,23,1,1

77A05C41,J,2010,5,18,6

80C0ED06,J,2013,2,3,2

77D562EE,J,2007,,0,0

77D562EF,J,1990,23,6,4

77A05C46,J,2008,,0,0

77A05C48,J,1893,,0,0

03E663B6,C,1992,,0,0

812B39B7,C,2006,,0,0

2447CA8C,C,2000,,0,0

812B39B4,J,2014,,0,0

46AB66C9,C,2004,,0,0

7C7CCFA7,J,2009,6,2,2

165EBB11,C,2006,,0,0

80C0ED03,J,2012,3,13,4

7C5FD6F5,C,2015,,0,0

7C5FD6F3,J,2003,9,1,1

000AA9F1,C,2014,,0,0

2599CD6D,C,1982,,0,0

7A5A6E52,J,2015,,0,0

7A5A6E53,J,1993,16,22,11

7C5FD6F9,J,2006,6,6,5

7A5A6E51,J,2001,14,43,14

63B32F81,C,1992,,0,0

120CED00,C,1974,,0,0

102CBAB1,J,1999,,0,0

7D572110,J,1980,31,5,5

69272018,J,2002,12,7,7

7924F141,J,2010,,0,0

6C845147,C,2009,,0,0

37E33FCE,C,2011,,0,0

7C2F6DB4,J,1993,,0,0

00842FF2,C,2001,9,1,1

7C2F6DB3,J,2006,,0,0

24045996,C,2006,8,11,6

0661BE87,C,2006,,0,0

00842FF8,C,1975,,0,0

80298642,C,2005,,0,0

5C83F8F6,C,2010,,0,0

4977EC23,J,2003,,0,0

840C3519,C,1991,,0,0

840C3514,C,2003,,0,0

840C3516,C,1953,,0,0

16C78319,C,1901,,0,0

7DD449B9,J,2013,2,1,1

594D38D2,C,2012,,0,0

83EC4FBA,C,2006,,0,0

594D38D0,C,2015,0,2,1

5CD0E1FE,C,2012,,0,0

5CD0E1FF,C,2004,,0,0

0BC79FD6,C,2000,,0,0

5CD0E1FC,C,2013,,0,0

07239D6C,C,1994,,0,0

83EC4FB4,C,2008,,0,0

83EC4FB3,C,2008,2,1,1

594D38DB,C,2009,,0,0

74FB3112,C,2013,,0,0

7DD449BC,J,1968,,0,0

7DD449BA,J,1989,26,90,20

83411B7F,C,2015,,0,0

83EC4FB8,C,1992,,0,0
